"Number","Significant_Frequency","Period_Years","Period_days"
78,732.925851703407,5.97604790419162,2181.25748502994
78,1097.19438877755,3.992,1457.08
78,1452.68537074148,3.01510574018127,1100.51359516616
78,1825.73146292585,2.39903846153846,875.649038461539
79,364.268537074148,12.0240963855422,4388.79518072289
79,732.925851703407,5.97604790419162,2181.25748502994
79,1097.19438877755,3.992,1457.08
79,1452.68537074148,3.01510574018127,1100.51359516616
79,1816.95390781563,2.41062801932367,879.87922705314
80,364.268537074148,12.0240963855422,4388.79518072289
80,728.537074148297,6.01204819277108,2194.39759036145
80,1092.80561122244,4.00803212851406,1462.93172690763
80,1452.68537074148,3.01510574018127,1100.51359516616
80,1816.95390781563,2.41062801932367,879.87922705314
81,364.268537074148,12.0240963855422,4388.79518072289
81,728.537074148297,6.01204819277108,2194.39759036145
81,1088.41683366733,4.0241935483871,1468.83064516129
81,1452.68537074148,3.01510574018127,1100.51359516616
81,1816.95390781563,2.41062801932367,879.87922705314
82,364.268537074148,12.0240963855422,4388.79518072289
82,728.537074148297,6.01204819277108,2194.39759036145
82,1097.19438877755,3.992,1457.08
82,1461.4629258517,2.996996996997,1093.9039039039
82,1825.73146292585,2.39903846153846,875.649038461539
83,364.268537074148,12.0240963855422,4388.79518072289
83,728.537074148297,6.01204819277108,2194.39759036145
83,1092.80561122244,4.00803212851406,1462.93172690763
83,1461.4629258517,2.996996996997,1093.9039039039
83,1825.73146292585,2.39903846153846,875.649038461539
84,364.268537074148,12.0240963855422,4388.79518072289
84,728.537074148297,6.01204819277108,2194.39759036145
84,1097.19438877755,3.992,1457.08
84,1461.4629258517,2.996996996997,1093.9039039039
84,1825.73146292585,2.39903846153846,875.649038461539
85,364.268537074148,12.0240963855422,4388.79518072289
85,728.537074148297,6.01204819277108,2194.39759036145
85,1092.80561122244,4.00803212851406,1462.93172690763
85,1461.4629258517,2.996996996997,1093.9039039039
85,1825.73146292585,2.39903846153846,875.649038461539
86,364.268537074148,12.0240963855422,4388.79518072289
86,728.537074148297,6.01204819277108,2194.39759036145
86,1097.19438877755,3.992,1457.08
86,1461.4629258517,2.996996996997,1093.9039039039
86,1825.73146292585,2.39903846153846,875.649038461539
87,364.268537074148,12.0240963855422,4388.79518072289
87,728.537074148297,6.01204819277108,2194.39759036145
87,1092.80561122244,4.00803212851406,1462.93172690763
87,1461.4629258517,2.996996996997,1093.9039039039
87,1825.73146292585,2.39903846153846,875.649038461539
88,364.268537074148,12.0240963855422,4388.79518072289
88,728.537074148297,6.01204819277108,2194.39759036145
88,1092.80561122244,4.00803212851406,1462.93172690763
88,1461.4629258517,2.996996996997,1093.9039039039
88,1825.73146292585,2.39903846153846,875.649038461539
89,364.268537074148,12.0240963855422,4388.79518072289
89,728.537074148297,6.01204819277108,2194.39759036145
89,1097.19438877755,3.992,1457.08
89,1461.4629258517,2.996996996997,1093.9039039039
89,1825.73146292585,2.39903846153846,875.649038461539
90,364.268537074148,12.0240963855422,4388.79518072289
90,728.537074148297,6.01204819277108,2194.39759036145
90,1097.19438877755,3.992,1457.08
90,1461.4629258517,2.996996996997,1093.9039039039
90,1825.73146292585,2.39903846153846,875.649038461539
91,364.268537074148,12.0240963855422,4388.79518072289
91,728.537074148297,6.01204819277108,2194.39759036145
91,1097.19438877755,3.992,1457.08
91,1461.4629258517,2.996996996997,1093.9039039039
91,1825.73146292585,2.39903846153846,875.649038461539
92,364.268537074148,12.0240963855422,4388.79518072289
92,728.537074148297,6.01204819277108,2194.39759036145
92,1097.19438877755,3.992,1457.08
92,1461.4629258517,2.996996996997,1093.9039039039
92,1825.73146292585,2.39903846153846,875.649038461539
93,364.268537074148,12.0240963855422,4388.79518072289
93,728.537074148297,6.01204819277108,2194.39759036145
93,1092.80561122244,4.00803212851406,1462.93172690763
93,1461.4629258517,2.996996996997,1093.9039039039
93,1825.73146292585,2.39903846153846,875.649038461539
94,364.268537074148,12.0240963855422,4388.79518072289
94,728.537074148297,6.01204819277108,2194.39759036145
94,1092.80561122244,4.00803212851406,1462.93172690763
94,1461.4629258517,2.996996996997,1093.9039039039
94,1825.73146292585,2.39903846153846,875.649038461539
95,364.268537074148,12.0240963855422,4388.79518072289
95,732.925851703407,5.97604790419162,2181.25748502994
95,1097.19438877755,3.992,1457.08
95,1461.4629258517,2.996996996997,1093.9039039039
95,1825.73146292585,2.39903846153846,875.649038461539
96,364.268537074148,12.0240963855422,4388.79518072289
96,728.537074148297,6.01204819277108,2194.39759036145
96,1097.19438877755,3.992,1457.08
96,1461.4629258517,2.996996996997,1093.9039039039
96,1825.73146292585,2.39903846153846,875.649038461539
97,364.268537074148,12.0240963855422,4388.79518072289
97,728.537074148297,6.01204819277108,2194.39759036145
97,1088.41683366733,4.0241935483871,1468.83064516129
97,1461.4629258517,2.996996996997,1093.9039039039
97,1816.95390781563,2.41062801932367,879.87922705314
98,364.268537074148,12.0240963855422,4388.79518072289
98,728.537074148297,6.01204819277108,2194.39759036145
98,1092.80561122244,4.00803212851406,1462.93172690763
98,1461.4629258517,2.996996996997,1093.9039039039
98,1816.95390781563,2.41062801932367,879.87922705314
99,364.268537074148,12.0240963855422,4388.79518072289
99,728.537074148297,6.01204819277108,2194.39759036145
99,1092.80561122244,4.00803212851406,1462.93172690763
99,1452.68537074148,3.01510574018127,1100.51359516616
99,1816.95390781563,2.41062801932367,879.87922705314
100,364.268537074148,12.0240963855422,4388.79518072289
100,728.537074148297,6.01204819277108,2194.39759036145
100,1092.80561122244,4.00803212851406,1462.93172690763
100,1461.4629258517,2.996996996997,1093.9039039039
100,1816.95390781563,2.41062801932367,879.87922705314
101,364.268537074148,12.0240963855422,4388.79518072289
101,728.537074148297,6.01204819277108,2194.39759036145
101,1097.19438877755,3.992,1457.08
101,1461.4629258517,2.996996996997,1093.9039039039
101,1825.73146292585,2.39903846153846,875.649038461539
102,364.268537074148,12.0240963855422,4388.79518072289
102,728.537074148297,6.01204819277108,2194.39759036145
102,1092.80561122244,4.00803212851406,1462.93172690763
102,1461.4629258517,2.996996996997,1093.9039039039
102,1825.73146292585,2.39903846153846,875.649038461539
103,364.268537074148,12.0240963855422,4388.79518072289
103,728.537074148297,6.01204819277108,2194.39759036145
103,1097.19438877755,3.992,1457.08
103,1461.4629258517,2.996996996997,1093.9039039039
103,1825.73146292585,2.39903846153846,875.649038461539
104,364.268537074148,12.0240963855422,4388.79518072289
104,728.537074148297,6.01204819277108,2194.39759036145
104,1097.19438877755,3.992,1457.08
104,1461.4629258517,2.996996996997,1093.9039039039
104,1825.73146292585,2.39903846153846,875.649038461539
105,364.268537074148,12.0240963855422,4388.79518072289
105,728.537074148297,6.01204819277108,2194.39759036145
105,1092.80561122244,4.00803212851406,1462.93172690763
105,1461.4629258517,2.996996996997,1093.9039039039
105,1825.73146292585,2.39903846153846,875.649038461539
106,364.268537074148,12.0240963855422,4388.79518072289
106,728.537074148297,6.01204819277108,2194.39759036145
106,1097.19438877755,3.992,1457.08
106,1461.4629258517,2.996996996997,1093.9039039039
106,1825.73146292585,2.39903846153846,875.649038461539
107,364.268537074148,12.0240963855422,4388.79518072289
107,728.537074148297,6.01204819277108,2194.39759036145
107,1097.19438877755,3.992,1457.08
107,1461.4629258517,2.996996996997,1093.9039039039
107,1825.73146292585,2.39903846153846,875.649038461539
108,364.268537074148,12.0240963855422,4388.79518072289
108,728.537074148297,6.01204819277108,2194.39759036145
108,1097.19438877755,3.992,1457.08
108,1461.4629258517,2.996996996997,1093.9039039039
108,1825.73146292585,2.39903846153846,875.649038461539
109,364.268537074148,12.0240963855422,4388.79518072289
109,728.537074148297,6.01204819277108,2194.39759036145
109,1097.19438877755,3.992,1457.08
109,1461.4629258517,2.996996996997,1093.9039039039
109,1825.73146292585,2.39903846153846,875.649038461539
110,364.268537074148,12.0240963855422,4388.79518072289
110,728.537074148297,6.01204819277108,2194.39759036145
110,1092.80561122244,4.00803212851406,1462.93172690763
110,1461.4629258517,2.996996996997,1093.9039039039
110,1825.73146292585,2.39903846153846,875.649038461539
111,364.268537074148,12.0240963855422,4388.79518072289
111,728.537074148297,6.01204819277108,2194.39759036145
111,1092.80561122244,4.00803212851406,1462.93172690763
111,1461.4629258517,2.996996996997,1093.9039039039
111,1825.73146292585,2.39903846153846,875.649038461539
112,364.268537074148,12.0240963855422,4388.79518072289
112,728.537074148297,6.01204819277108,2194.39759036145
112,1092.80561122244,4.00803212851406,1462.93172690763
112,1461.4629258517,2.996996996997,1093.9039039039
112,1816.95390781563,2.41062801932367,879.87922705314
113,364.268537074148,12.0240963855422,4388.79518072289
113,728.537074148297,6.01204819277108,2194.39759036145
113,1092.80561122244,4.00803212851406,1462.93172690763
113,1461.4629258517,2.996996996997,1093.9039039039
113,1816.95390781563,2.41062801932367,879.87922705314
114,364.268537074148,12.0240963855422,4388.79518072289
114,728.537074148297,6.01204819277108,2194.39759036145
114,1092.80561122244,4.00803212851406,1462.93172690763
